Year,Team,Name,G,GS,GR,IP,W,L,S,HD,SO,BB,ERA,FIP,WHIP,WAR
2021,한화,송윤준,17,0,17,12.2,0,0,0,2,8,6,3.55,4.84,1.42,0.31
2021,한화,김진영,20,0,20,18.1,0,1,0,1,8,14,3.93,6.34,1.64,0.11
2021,한화,문동욱,1,0,1,1.1,0,0,0,0,2,1,0.0,2.34,1.5,0.05
2021,한화,남지민,3,3,0,7.1,0,1,0,0,3,7,7.36,8.59,2.18,0.01
2021,한화,박성웅,2,1,1,3.0,1,1,0,0,3,9,12.0,10.57,3.67,-0.02
2021,한화,신지후,2,0,2,0.1,0,0,0,0,0,1,0.0,13.07,3.0,-0.02
2021,한화,정인욱,8,1,7,9.1,0,0,0,0,6,10,4.82,8.03,1.71,-0.03
2021,한화,황영국,18,0,18,14.2,0,2,0,2,15,10,5.52,3.54,1.77,-0.03
2021,한화,윤산흠,5,0,5,3.0,0,0,0,0,2,2,6.0,6.23,3.0,-0.04
2021,한화,윤호솔,55,0,55,48.2,3,0,0,8,42,30,4.62,5.36,1.46,-0.05
2021,한화,김종수,49,0,49,46.2,1,1,0,6,38,32,4.82,5.84,1.41,-0.06
2021,한화,김도현,14,5,9,26.0,0,1,0,0,13,22,7.62,6.53,2.08,-0.1
2021,한화,오동욱,34,0,34,25.0,0,1,0,2,13,16,5.4,6.5,1.48,-0.11
2021,한화,장웅정,4,0,4,7.1,0,0,0,0,4,2,9.82,9.74,2.32,-0.17
2021,한화,서균,3,0,3,1.2,0,0,0,0,0,0,10.8,7.49,1.2,-0.21
2021,한화,김기탁,19,0,19,12.1,0,0,0,4,12,7,5.84,3.35,1.7,-0.23
2021,한화,이충호,17,0,17,16.1,1,0,0,0,11,13,7.71,5.85,2.02,-0.26
2021,한화,정우람,50,0,50,44.2,1,4,15,1,32,20,5.64,4.9,1.5,-0.31
2021,한화,장시환,19,16,3,69.0,0,11,0,1,47,48,7.04,5.18,1.96,-0.48
2021,한화,이승관,8,2,6,5.2,0,2,0,0,5,16,27.0,12.41,4.76,-0.78
2021,한화,임준섭,13,0,13,10.2,0,0,0,0,11,8,10.97,5.79,2.53,-0.83
2021,한화,신정락,20,0,20,20.0,0,2,0,2,14,15,8.55,6.28,2.0,-1.21
